cusId,resId,revId
s3FoA5rw2tH7zJhOLaVSZQ,-3r9TfGuLzx_CRh9b8u6iA,HOdoQ0c6ENuYbTaCmU4-FQ
ymDOo__5qDf6KhLNBL-mBA,-3r9TfGuLzx_CRh9b8u6iA,StLXFxCXkkUoZlT8amSxog
uxPOfq1u0JHhKM2Bv6WteQ,-3yie49A7fVfYRIu8snY_g,iN6-48lEX7aeCCkvLjdGqw
2zAW2w3ofqsh_niDCK7XvA,-3yie49A7fVfYRIu8snY_g,RRZohla45vu6iDTAIx1LVg
i9Fg_wO8UryFmDkuMROPpg,-3yie49A7fVfYRIu8snY_g,Hv-my3BdOSYfko6pVE3maw
JbJHPWAGi2ycf6BJHFKqaA,-41K7K3wDEpHSeJtbgKMNQ,kNKtwyC0oebhrio6qEyn_Q
9gGPmYg4GqUa6dGzjISDZA,-41K7K3wDEpHSeJtbgKMNQ,9XAKatCx5W3XI7zJ-wvAtA
kmpbeducU-2hrL9ecvtaCQ,-41K7K3wDEpHSeJtbgKMNQ,UWwrcI9Id8eVLM1TDO4vyQ
qGkj40UFTvJHBsarcBo8fA,-4B2Bm0hXrr043xOj85dog,8Vainn2FKecczYvQnXA5gw
E7LXozU-xwZQvhn_OQ5y4Q,-4B2Bm0hXrr043xOj85dog,xdJlM4aqWpwrDp-DTejGpA
P--sk9s1vMsbii17JMbHFw,-5nB1PYtZLJgmrOtHrWt0A,kfMdf2QTQ-8jgPPE1nw_0g
ou8zsKstTF6qDkRDntI6sQ,-5nB1PYtZLJgmrOtHrWt0A,4W43Tmn11d2qoqqB9vOaHg
RxZ95AhK4vlKb31rhyseBA,-5nB1PYtZLJgmrOtHrWt0A,CnNVkWJEgXzT3mrJwANG_Q
Om5ZjqipdYsqcBiAu3vVuA,-9nDx65FYy2phwsLXoJ3Ew,bwMt_mEDSYrd0V6XJBeKcA
P2ohXdNbia1cZN7nHgh8kw,-9nDx65FYy2phwsLXoJ3Ew,fg2FNSh7666AeulmXfff6w
kVY32TrryLtfjTTHdWo_OA,-9nDx65FYy2phwsLXoJ3Ew,7GLwoN-nbX-eldvgGU3ZQw
bJIoWlcESvMUwAWNgnsMUQ,-9uJyS9cSn2Chfy6uB0ijg,diQkXC-Bwuc2zbzb6thU7w
OeOx7EqkhnYl5UwOMPZYAg,-aAZiz_4TrT-IuIuHJL4ZQ,sSJL6PFoQ-PdDKDayvhUZQ
KrE_AJUE5aFGrLSr_T7rLQ,-aAZiz_4TrT-IuIuHJL4ZQ,Tp8hNxWXd2PdszDPc_8o1A
bC3aSG_blKqi7Ge7-vtULw,-aAZiz_4TrT-IuIuHJL4ZQ,DiVWIBJPapc-SEGWG_8CMg
_VGDOPdeWuNbu8Q34xZuLg,-ATrt8-3_mrFEODN_61Zkw,n42_RsDcfaaRda0Hbi0G3g
XEwEdPIjryudxfU098wapg,-ATrt8-3_mrFEODN_61Zkw,Ezn2VstXTRuXM6IvBuwdhg
lO3Yb695383CNddTgzJADg,-ATrt8-3_mrFEODN_61Zkw,3CNNrtPUTtKzl6Vspv9Jcw
DGNHPso5TI0gV9uvLRnThw,-b8N_HrKbq2g7OVphh62Nw,911B0TS8mgXHDmm3m9QX6w
-ZowAtkVRgHmtIPTrs_kVA,-b8N_HrKbq2g7OVphh62Nw,UM5xaZmVy2K_7tcckwvtbQ
e1dCILkMNfXdJ7pQP5q99w,-b8N_HrKbq2g7OVphh62Nw,7SunnYm1QfwSK3y_q2vFAg
mI6FxVpNco9fcSiDJ0XbUg,-bEH3OOngPUCYRGJsnkkDQ,wrhxV1g4FdA5SXgDatRTow
33s3X-OIwteV7HATku5EUA,-bEH3OOngPUCYRGJsnkkDQ,Mpc4lv9DEmkP8_22_2ou1g
hI5IIsx06lUGmiN0oJ2iDA,-bEH3OOngPUCYRGJsnkkDQ,VrVcJMJvEW32iWLuqxekDw
ikt4KvroaoTbXJWW0w4S8w,-bEzBJAavdMoQTHWxUJ4bA,baBGFfjD2ANXU_A_JIneNg
-yo5dIkByekOV1T1XeNlug,-bEzBJAavdMoQTHWxUJ4bA,O7c3w0yWKxylDdRxh6-xUw
SSW6XvhXv1gh1-Dvy8jmQw,-bEzBJAavdMoQTHWxUJ4bA,IPP5JogkPkbjDteBlURApQ
Q_SR2NwCPDnu-phYkrSX8g,-cbyKl6kxeiTYPYrUHv8Cg,6F4NqggQ6Xi95rmiwrDJ1Q
9TbtdAMQt7g6X-YQuA1mhA,-FMz30jmH67SJntNp_fd1A,oRb3MkoB-B3q6GpHT3yrYw
i4KbPr-sURiuXypvfDHYDg,-FMz30jmH67SJntNp_fd1A,PsmGaUDqZUjqobEgzIQ5Zw
